"item_name","item_type","category","source_path","target_path","file_count","bytes","status"
"호텔검색_1만명증강_결합전이개정및검증_260907_1418_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_결합전이개정및검증_260907_1418_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_결합전이개정및검증_260907_1418_01","3","34552787","HOLD_PARTIAL_TARGET"
"호텔검색_1만명증강_기준선재수립_260907_1102_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_기준선재수립_260907_1102_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_기준선재수립_260907_1102_01","9","89550","PLANNED"
"호텔검색_1만명증강_기준선재수립_260907_1110_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_기준선재수립_260907_1110_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_기준선재수립_260907_1110_01","9","88037","PLANNED"
"호텔검색_1만명증강_다중시드교정_260907_1146_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_다중시드교정_260907_1146_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_다중시드교정_260907_1146_01","110","191399110","PLANNED"
"호텔검색_1만명증강_생성시스템개발_260907_1122_01","directory","07_개발_테스트","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_생성시스템개발_260907_1122_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\07_개발_테스트\호텔검색_1만명증강_생성시스템개발_260907_1122_01","19","948913","PLANNED"
"호텔검색_1만명증강_생성시스템개정_260907_1239_01","directory","07_개발_테스트","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_생성시스템개정_260907_1239_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\07_개발_테스트\호텔검색_1만명증강_생성시스템개정_260907_1239_01","32","67097534","PLANNED"
"호텔검색_1만명증강_승인인터페이스수정및교정_260907_1345_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_승인인터페이스수정및교정_260907_1345_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_승인인터페이스수정및교정_260907_1345_01","0",,"PLANNED"
"호텔검색_1만명증강_승인인터페이스수정및교정_260907_1351_01","directory","08_실행이력_중간산출물","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_승인인터페이스수정및교정_260907_1351_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\08_실행이력_중간산출물\호텔검색_1만명증강_승인인터페이스수정및교정_260907_1351_01","28","485943546","PLANNED"
"호텔검색_1만명증강_탐색용생성_260907_1544_01","directory","02_증강_데이터","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_1만명증강_탐색용생성_260907_1544_01","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\02_증강_데이터\호텔검색_1만명증강_탐색용생성_260907_1544_01","19","808043519","PLANNED"
"호텔검색_3단계종합보고서_260907_1645_01_내부작업","directory","04_최종_보고서","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\호텔검색_3단계종합보고서_260907_1645_01_내부작업","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\04_최종_보고서\내부작업\호텔검색_3단계종합보고서_260907_1645_01_내부작업","16","899639","PLANNED"
"00_authority_matrix.md","file","06_검증_QA_승인","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\00_authority_matrix.md","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\06_검증_QA_승인\00_authority_matrix.md","1","2409","PLANNED"
"00_conflict_register.csv","file","06_검증_QA_승인","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\00_conflict_register.csv","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\06_검증_QA_승인\00_conflict_register.csv","1","1679","PLANNED"
"00_gate_report.md","file","06_검증_QA_승인","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\00_gate_report.md","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\06_검증_QA_승인\00_gate_report.md","1","3192","PLANNED"
"00_input_inventory.csv","file","06_검증_QA_승인","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\00_input_inventory.csv","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\06_검증_QA_승인\00_input_inventory.csv","1","4968","PLANNED"
"00_input_inventory.json","file","06_검증_QA_승인","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\00_input_inventory.json","C:\Users\이소이\Desktop\[은평4기] AI로 끝내자! 바이브코딩으로 배우는 데이터분석 실전 과정\미니 프로젝트\깃허브 업로드용\sesac-data-analysis-mini-project\09_단계별 분석\3단계_10000건_증감_분석\06_검증_QA_승인\00_input_inventory.json","1","6481","PLANNED"
